date,ticker,shares,price
2026-04-02,FXI,165600000,
2026-04-03,FXI,165600000,
2026-04-06,FXI,165600000,
2026-04-07,FXI,165600000,
2026-04-08,FXI,165600000,
2026-04-09,FXI,165600000,
2026-04-10,FXI,165600000,
2026-04-13,FXI,165600000,
2026-04-14,FXI,165600000,
2026-04-15,FXI,165600000,
2026-04-16,FXI,165600000,
2026-03-30,GDX,310002500,85.79000091552734
2026-03-31,GDX,310002500,91.06990051269533
2026-04-01,GDX,310002500,
2026-04-02,GDX,310002500,
2026-04-03,GDX,310002500,
2026-04-06,GDX,307902500,
2026-04-07,GDX,309952500,
2026-04-08,GDX,309952500,
2026-04-09,GDX,309952500,
2026-04-10,GDX,310952500,
2026-04-13,GDX,310552500,
2026-04-14,GDX,310552500,
2026-04-15,GDX,310552500,
2026-04-16,GDX,310502500,
2026-03-30,GDXJ,76237446,110.61000061035156
2026-03-31,GDXJ,76237446,118.51000213623048
2026-04-01,GDXJ,76237446,
2026-04-02,GDXJ,76237446,
2026-04-03,GDXJ,76237446,
2026-04-06,GDXJ,76237446,
2026-04-07,GDXJ,75987446,
2026-04-08,GDXJ,76287446,
2026-04-09,GDXJ,76037446,
2026-04-10,GDXJ,76037446,
2026-04-13,GDXJ,75787446,
2026-04-14,GDXJ,75437446,
2026-04-15,GDXJ,75437446,
2026-04-16,GDXJ,74987446,
2026-03-28,GLD,368300000,
2026-03-30,GLD,367200000,414.5799865722656
2026-03-31,GLD,366000000,428.5199890136719
2026-04-01,GLD,366400000,
2026-04-02,GLD,367700000,
2026-04-03,GLD,367700000,
2026-04-06,GLD,367700000,
2026-04-07,GLD,368900000,
2026-04-08,GLD,368900000,
2026-04-09,GLD,368400000,
2026-04-10,GLD,368200000,
2026-04-13,GLD,367100000,
2026-04-14,GLD,366500000,
2026-04-15,GLD,367300000,
2026-04-16,GLD,367300000,
2026-03-28,GLDM,324150000,
2026-03-30,GLDM,324150000,89.31999969482422
2026-03-31,GLDM,324750000,92.30500030517578
2026-04-01,GLDM,324750000,
2026-04-02,GLDM,325250000,
2026-04-03,GLDM,325250000,
2026-04-06,GLDM,325250000,
2026-04-07,GLDM,325750000,
2026-04-08,GLDM,326350000,
2026-04-09,GLDM,329950000,
